reef_name,lat,lon,sector,year_before,year_after,coral_before,coral_after,change,pct_change
20348S,-20.891667,150.958333,PO,2022,2023,31.547,31.706,0.16,0.5
TERN REEF(20309),-20.908333,150.033333,PO,2022,2023,36.328,32.574,-3.75,-10.3
POMPEY REEF (NO 1),-20.941667,150.533333,PO,2022,2023,26.642,34.013,7.37,27.7
20353S,-20.966667,150.916667,PO,2020,2023,45.7,60.323,14.62,32.0
20354S,-20.975,150.95,PO,2022,2023,42.644,48.58,5.94,13.9
POMPEY REEF (NO 2),-20.991667,150.525,PO,2022,2023,15.724,16.611,0.89,5.6
PENRITH REEF,-21.016667,149.9,PO,2010,2020,22.745,17.076,-5.67,-24.9
21060S,-21.016667,150.608333,PO,2022,2023,27.431,34.881,7.45,27.2
21591S,-21.025833,150.373,PO,2022,2023,21.848,29.107,7.26,33.2
21062S,-21.033333,150.866667,PO,2018,2023,15.769,34.851,19.08,121.0
21064S,-21.058333,150.775,PO,2020,2023,6.667,22.2,15.53,233.0
21104S,-21.1,151.241667,PO,2002,2005,27.143,31.927,4.78,17.6
21278S,-21.108333,152.55,SW,2016,2020,29.355,32.176,2.82,9.6
21074S,-21.158333,150.85,PO,2009,2015,17.66,38.919,21.26,120.4
21245S,-21.308333,152.441667,SW,2020,2023,28.18,43.706,15.53,55.1
21296S,-21.341667,152.55,SW,2018,2023,16.161,30.625,14.46,89.5
21137S,-21.4,151.416667,PO,2004,2009,73.295,17.33,-55.97,-76.4
21187S,-21.416667,151.641667,PO,2022,2023,52.554,52.083,-0.47,-0.9
21302S,-21.433333,152.575,SW,2016,2018,31.25,51.726,20.48,65.5
21139S,-21.475,151.475,PO,2022,2023,61.159,62.48,1.32,2.2
21140S,-21.483333,151.283333,PO,2004,2015,39.276,35.893,-3.38,-8.6
EAST CAY REEF,-21.491667,152.558333,SW,2022,2023,45.653,33.068,-12.59,-27.6
21558S,-21.558333,152.541667,SW,2022,2023,49.821,39.314,-10.51,-21.1
TURNER REEF,-21.725,152.558333,SW,2022,2023,11.579,10.778,-0.8,-6.9
21529S,-21.866667,152.175,SW,2021,2022,52.227,54.181,1.95,3.7
SMALL LAGOON REEF,-21.875,152.508333,SW,2020,2022,24.946,7.571,-17.38,-69.7
21467S,-21.883333,151.925,SW,1995,1996,25.246,30.804,5.56,22.0
CENTRAL REEF,-21.925,152.516667,SW,1996,2005,59.911,3.047,-56.86,-94.9
21583S,-21.941667,152.655,SW,1995,1996,36.667,40.125,3.46,9.4
21550S,-21.958333,152.316667,SW,2018,2020,38.229,45.988,7.76,20.3
JENKINS REEF,-21.958333,152.6,SW,2020,2022,2.5,3.966,1.47,58.6
GANNETT CAY REEF,-21.983333,152.475,SW,2022,2023,6.053,3.194,-2.86,-47.2
WADE REEF,-21.983333,152.65,SW,2022,2023,7.609,11.563,3.95,52.0
22084S,-22.0,152.458333,SW,2020,2022,43.938,9.028,-34.91,-79.5
CHINAMAN REEF(22102),-22.008333,152.658333,SW,2022,2023,28.208,20.313,-7.89,-28.0
SNAKE (22088),-22.025,152.15,SW,2021,2022,36.133,23.577,-12.56,-34.7
HORSESHOE,-22.033333,152.591667,SW,2022,2023,6.591,8.83,2.24,34.0
22112S,-22.083333,152.591667,SW,1993,1996,36.458,57.083,20.62,56.6
22118S,-22.125,152.625,SW,1993,1996,24.545,34.653,10.11,41.2
22144S,-22.333333,152.666667,SW,1993,1996,18.03,31.292,13.26,73.6
NORTH REEF (NORTH),-23.183333,151.908333,CB,2020,2021,41.689,46.034,4.34,10.4
BROOMFIELD REEF,-23.275,151.941667,CB,2022,2023,59.286,57.823,-1.46,-2.5
WRECK ISLAND REEF,-23.333333,151.966667,CB,2022,2023,74.302,55.61,-18.69,-25.2
ONE TREE REEF,-23.5,152.066667,CB,2022,2023,62.713,61.507,-1.21,-1.9
ERSKINE REEF,-23.508333,151.775,CB,2022,2023,37.679,46.667,8.99,23.9
MAST HEAD REEF,-23.541667,151.733333,CB,2022,2023,34.59,33.646,-0.94,-2.7
FITZROY REEF,-23.625,152.158333,CB,1996,1997,32.348,33.511,1.16,3.6
BOULT REEF,-23.758333,152.266667,CB,2020,2021,48.949,60.714,11.77,24.0
HOSKYN ISLANDS REEF,-23.808333,152.291667,CB,2020,2021,47.765,63.281,15.52,32.5
FAIRFAX ISLANDS REEF,-23.858333,152.366667,CB,2022,2023,59.896,51.955,-7.94,-13.3
LADY MUSGRAVE REEF,-23.908333,152.408333,CB,2022,2023,68.347,55.69,-12.66,-18.5
